d2000,w80,m250,s150,p3,15919,647,231,355,540,301,402,525,161,310,298,335,311,932,444,619,552,1142,456,206,532,164,767,247,45,313,506,554,228,235
d2000,w80,m300,s150,p3,12572,456,77,141,75,288,334,405,477,458,325,334,216,293,-83,494,397,402,405,110,190,219,225,504,158,289,-116,196,520,326
d2000,w80,m100,s150,p3,2802,592,-368,-478,1067,-3072,5913,713,573,637,592,988,679,585,-1938,-2014,620,1501,724,1550,773,916,1072,850,649,916,964,862,764,724
d2000,w80,m150,s150,p3,2391,1009,299,52,1070,327,260,666,646,466,743,367,572,1213,331,1110,624,158,525,1161,222,641,-14773,228,923,245,308,594,330,508
d2000,w80,m250,s150,p3,1619,382,285,-15,239,436,142,548,46,539,477,26,562,170,248,279,454,477,358,506,277,563,298,-107,633,1385,-100,460,220,130
d2000,w80,m150,s150,p3,1019,1077,674,598,670,835,551,847,655,1078,1290,433,1045,436,629,701,991,434,590,1201,554,485,677,377,564,798,691,462,401,600
d2000,w80,m200,s300,p3,-3540,53,285,194,335,166,406,534,441,182,195,223,287,148,437,307,537,528,309,340,84,1088,533,558,436,329,560,252,445,-102
d2000,w80,m200,s150,p3,989,666,692,8201,326,463,-200,772,520,520,587,349,523,443,455,160,569,752,190,549,466,303,218,314,626,198,656,395,684,496
d2000,w80,m300,s300,p3,5015,241,-48,30,-8,-35,195,60,223,64,-7,-14,163,357,137,414,317,8,70,-46,-184,559,37,-8598,420,104,297,-116,20,317
d2000,w80,m200,s150,p3,10570,564,852,-299,811,336,173,236,551,169,440,373,477,206,499,287,257,703,146,582,988,109,328,1097,496,980,483,752,278,282
d2000,w80,m250,s300,p3,7050,-41,41,-31,458,402,272,350,377,450,243,322,75,271,-15,104,211,11,138,677,177,215,210,450,146,139,238,223,245,242
d2000,w80,m50,s300,p3,11814,-7562,1157,1085,1169,-6391,1143,-1185,617,-10885,1175,891,-10504,1307,851,1158,1216,-6710,-12224,-5184,1052,1322,1071,1229,1015,-15116,1039,1290,-13071,-4116
d2000,w80,m50,s150,p3,3892,-3106,-6922,1158,11124,-3682,-1086,9446,1216,1366,2351,1234,1234,1246,-1672,1084,1245,873,1159,-722,1279,-417,1080,1653,1115,-2088,324,-6610,-7762,1215
d2000,w80,m200,s300,p3,-6130,365,-43,876,-63,543,484,184,887,420,345,374,757,72,566,670,430,500,600,397,73,745,413,524,550,561,528,461,598,475
d2000,w80,m300,s150,p3,-618,-160,241,434,355,336,302,311,434,353,-77,648,553,480,332,250,71,298,323,260,-33,0,509,80,397,217,25,609,-103,259
d2000,w80,m100,s150,p3,2408,837,653,512,674,749,913,829,1672,507,612,798,747,926,771,668,1039,828,-6741,1041,715,897,936,722,1103,688,320,748,763,1015
d2000,w80,m300,s300,p3,4861,-359,-15,396,50,126,76,124,526,92,312,740,319,197,877,40,323,-655,512,580,361,420,542,138,166,316,373,663,227,188
d2000,w80,m50,s150,p3,-9047,-3042,1986,-2756,1343,1003,1453,1085,1161,-12109,1356,-5205,1162,1177,1499,-2295,1758,1728,1150,1251,1158,-3367,1024,2015,-11214,-8837,1335,-9841,-3405,1574
d2000,w80,m100,s300,p3,4796,697,750,810,8147,811,728,685,777,575,825,757,422,613,1438,760,668,1207,775,456,-1238,687,674,566,1028,647,786,907,526,692
d2000,w80,m50,s300,p3,7412,1088,-7232,1104,-20,-441,1472,1870,1675,2524,1265,1665,1157,1084,1160,-26974,1309,1117,-21372,-1826,2213,1108,-7885,1974,1371,1179,1030,-4221,1114,1654
d2000,w80,m150,s300,p3,3925,576,572,307,405,450,157,614,500,862,479,496,473,1283,414,2104,454,1046,719,677,511,357,587,708,391,214,455,586,1086,503
d2000,w80,m100,s300,p3,14895,638,1174,723,605,-2128,650,811,591,1554,717,976,1202,738,677,730,705,1580,737,772,681,599,509,693,858,462,754,761,529,1227
d2000,w80,m250,s300,p3,12530,62,23,129,195,-344,329,266,316,552,72,196,65,-54,77,30,311,481,196,142,281,132,74,135,617,140,180,322,512,169
d2000,w80,m150,s300,p3,-3610,502,600,910,379,230,471,341,772,388,829,373,488,1113,304,466,816,353,472,622,476,429,300,669,259,786,803,430,669,674
