d2000,w80,m200,s150,p3,-10264,169,206,64,326,-178,412,165,175,391,866,-176,262,-169,621,316,33,559,245,261,450,220,-236,329,-207,461,288,148,192,179,221,463,278,75,487,363,272,169,409,299,806,347,430,266,642,940,-76,877,266,319,494,329,563,17009,363,646,289,362,354,943
d2000,w80,m150,s150,p3,7916,483,944,224,878,285,425,294,127,726,290,674,373,969,331,264,1156,434,1177,821,444,373,548,136,697,462,288,204,530,364,603,491,464,521,644,588,185,341,319,622,304,613,180,321,82,230,237,458,431,119,830,173,505,650,178,317,684,233,240,555
d2000,w80,m50,s150,p3,-1812,244,1267,1274,1688,1132,1119,1695,2130,1524,1008,1059,1048,999,1036,1241,975,1510,1134,798,975,-9698,1338,1026,1106,1342,1298,1020,1160,783,-3437,1398,-4081,1101,1084,-823,-6577,1289,5295,1069,-20960,2948,1140,1064,1167,8730,1116,3313,-5269,1100,1099,1246,1452,1227,1070,932,1482,1100,1226,-10631
d2000,w80,m100,s300,p3,-13354,638,667,853,595,561,585,511,850,848,1788,618,452,1516,756,658,638,560,593,521,689,564,946,811,447,662,657,571,616,540,1281,699,1384,732,621,538,607,474,560,623,492,483,1275,835,564,821,558,15088,644,-16185,774,820,412,715,824,1370,1319,1177,714,1609
d2000,w80,m300,s150,p3,380,-53,195,-185,491,702,312,417,-10,178,486,99,540,645,2177,462,572,451,0,248,472,626,409,382,209,486,342,680,224,402,519,453,761,468,549,335,496,626,634,374,459,440,756,108,400,576,293,410,386,241,135,289,528,243,665,-62,378,605,418,342
d2000,w80,m250,s300,p3,13575,297,-346,-139,371,-137,-13,-378,405,184,208,123,-87,300,8,457,-103,-45,368,-103,17,81,-23,406,125,489,134,76,-143,-120,113,154,73,29,98,-231,554,452,-95,-552,-364,217,183,-97,-56,-159,-30,-182,851,2067,204,378,83,267,487,-66,444,234,141,547
d2000,w80,m150,s300,p3,-12,754,510,653,811,681,407,360,273,960,454,835,571,596,795,651,468,678,810,473,794,639,540,16247,814,743,746,708,-2186,632,685,637,1015,704,1262,622,991,372,785,17301,902,834,-729,430,464,471,453,325,818,291,484,610,597,210,791,434,681,481,954,700
d2000,w80,m300,s300,p3,6279,290,268,140,76,230,184,43,-130,-9,382,470,136,461,208,-24,180,50,97,348,321,269,233,94,-58,218,-46,-313,113,365,73,1048,357,-95,-139,367,217,323,236,118,48,231,232,163,156,410,-117,13,-82,254,596,242,457,274,351,337,338,1251,167,548
d2000,w80,m250,s150,p3,-6291,187,714,227,361,152,409,255,392,435,237,323,347,367,424,522,261,137,248,338,318,665,282,213,460,132,561,206,388,391,1515,119,299,615,425,370,321,380,684,235,95,413,283,813,452,407,551,383,248,249,240,414,240,170,454,252,534,222,90,153
d2000,w80,m200,s300,p3,7202,190,645,0,313,680,418,84,682,1315,270,-8,387,616,208,402,170,294,-136,269,215,499,365,645,407,-55,420,307,91,164,678,203,612,189,8,489,386,485,421,200,395,537,-56,235,270,983,-85,426,79,473,329,220,360,382,-122,390,285,534,316,187
d2000,w80,m100,s150,p3,-5938,743,668,1345,637,828,615,729,1139,831,889,1521,2170,662,817,798,653,778,829,639,876,828,865,619,693,593,4414,679,741,590,1586,1131,662,1555,909,748,686,965,636,776,950,8494,844,689,1097,688,699,741,1140,995,727,759,1163,503,1001,598,272,1804,790,4136
d2000,w80,m50,s300,p3,3024,983,1215,872,1503,1111,907,1435,1260,1290,-6658,9096,823,1172,1297,1150,2423,1352,1399,210,1295,1386,1472,1276,1134,2028,1295,1177,2051,1413,1431,1644,725,1164,1024,1091,2071,1190,1038,-6231,1143,1323,1081,1090,1281,1123,1233,-6848,1257,5343,1332,1371,1149,1545,1515,15906,11829,1044,2316,1527
