d2000,w80,m300,s300,p3,-10357,293,259,68,913,-12,214,0,642,161,670,732,230,463,1509,309,184,101,133,189,175,224,925,-363,84,18,19,919,114,161,106,-25,-451,106,399,209,202,116,177,190,519,-28,217,-39,-233,-80,235,-888,192,-140,253,-386,-73,260,8,-504,811,-678,-53,135
d2000,w80,m50,s300,p3,8910,1434,-2909,1339,1034,1171,1099,1205,-31540,-17249,1435,-8176,1969,1167,1281,1221,1113,-8900,1294,1439,1275,1501,1231,1059,1318,2553,-6477,1599,1270,1065,1193,1288,1476,-1922,1332,3387,1134,1260,873,1460,6356,1419,1321,-9427,1495,1200,1214,1512,1197,-2184,1608,2878,1371,1472,1313,1175,1254,1524,1038,1241
d2000,w80,m200,s150,p3,8215,412,909,74,168,238,471,1978,416,-176,363,-343,397,649,1807,219,1130,545,253,581,231,342,191,481,27,742,2050,586,1084,171,281,0,232,140,97,517,748,16,271,287,110,2416,31,211,348,280,614,-67,324,1603,-78,247,1985,380,701,366,671,1122,481,1013
d2000,w80,m150,s300,p3,916,473,466,603,354,652,976,323,1080,180,1146,284,1624,519,744,346,428,1254,791,1087,503,659,990,15053,909,486,1749,164,2178,1618,386,1656,524,693,264,579,644,467,813,398,490,368,2354,892,480,1558,247,39,1449,763,344,811,486,1152,1116,132,619,453,275,1020
d2000,w80,m250,s150,p3,222,486,-126,702,478,534,308,669,246,2152,264,1278,-38,94,301,236,420,1709,-455,211,554,1367,-74,-15,423,-316,-24,76,117,505,-379,0,112,-70,499,472,427,215,-255,963,-82,-715,434,-143,560,195,-280,122,-8392,1607,353,121,129,305,219,248,684,322,-89,-220
d2000,w80,m250,s300,p3,7508,-28444,1194,-202,-474,111,-219,-10669,1476,-227,-17232,1747,-334,-291,294,-431,-250,-16,336,-73,223,57,-132,-350,-92,929,-15,-259,-268,349,236,-488,0,-98,1031,-179,549,308,524,846,-188,-172,410,319,-305,356,330,275,462,162,550,25,-492,1577,895,553,270,399,369,-216
d2000,w80,m150,s150,p3,459,617,952,282,2156,436,658,511,787,1005,338,509,414,676,826,628,524,641,1681,170,700,536,382,772,1424,483,381,1112,393,2013,395,2554,212,308,530,1152,546,2261,701,904,430,531,186,312,859,213,596,404,686,564,2071,705,242,635,454,1790,366,1885,53,2573
d2000,w80,m200,s300,p3,1956,774,-24,341,173,138,-182,-59,130,269,1213,72,186,516,1597,343,643,9,-1774,1733,445,1515,-27,1488,247,256,8,1506,144,291,61,373,279,297,863,172,397,2609,-9102,539,405,1455,66,57,706,223,1735,964,-124,65,549,473,1663,223,454,1065,287,488,1550,327
d2000,w80,m300,s150,p3,-807,668,383,355,107,365,271,131,91,279,460,-1096,410,545,563,78,165,466,105,-48,634,358,341,196,371,526,425,22,820,342,8,58,27,304,-29,75,68,556,-206,1543,-343,61,255,559,198,1016,185,288,325,299,133,372,357,109,335,1068,2873,315,8,244
d2000,w80,m100,s150,p3,5345,975,851,1518,463,1514,894,885,861,1252,996,798,511,9030,934,920,612,1105,726,869,865,1165,1012,709,6289,1037,890,1020,975,1253,982,903,949,-6484,1016,837,1170,673,843,8682,1170,898,2210,-2840,17259,1154,876,824,1173,-3041,859,1232,829,-9459,1544,892,-32211,1086,1236,1019
d2000,w80,m100,s300,p3,-22133,1095,821,19016,897,1118,7578,784,822,1705,953,996,1362,12399,2452,1653,790,811,-16453,1166,864,607,702,990,563,786,1104,813,-13062,2229,869,565,1326,1020,929,-4385,905,1598,811,654,853,963,705,2715,789,982,1125,8384,12496,1865,-7473,2325,811,1069,663,1297,889,693,1343,812
d2000,w80,m50,s150,p3,13305,-33895,1400,1510,1399,-2096,-4529,-6553,1539,1837,1427,1822,1798,1350,1288,-261,-1782,1464,1629,1366,1726,1252,1343,-1981,1076,1660,1478,2006,1230,-7756,1340,1504,-384,1751,2099,1230,1882,-7717,2039,1752,1601,1334,-2775,1224,-3420,3180,1423,1222,2342,2246,1373,1269,-16187,2032,-8208,3010,2103,1275,1928,1401
