d1500,w80,m0,s150,p3,2300,138,1880,1575,788,314,684,1762,1820,1621,519,1738,891,777,330,-465,1297,-859,1609,1419,2068,-264,-605,1004,1809,-767,-253,1542,1758,1758,132,1658,1456,1876,-1940,1583,-372,905,1501,1238,1261,93,419,-940,-999,122,1620,345,241,383,1393,275,85,-520,-761,-742,-1948,-1374,-657,231,1720,600,1498,-1174,900,-2203,-539,1742,1934,234,1817,841,1766,-626,-2573,798,1047,-680,1681,1661,1385,1397,992,2142,736,-1356,-451,1681,273,684,95,-869,-768,795,-178,1355,1101,-117,-401,-2099,-1109,1550,1894,1709,-715,642,290,554,549,819,1449,-342,-1416,347,1584,1931,2258,1490,1232,1546
d1500,w80,m100,s150,p3,1428,636,598,315,185,561,414,433,461,412,373,-887,442,590,-656,546,263,281,-607,-1830,648,824,-420,100,614,452,337,737,840,293,150,548,597,791,-8,492,-230,695,738,-1138,-119,754,598,723,310,696,833,-282,-1672,588,794,461,438,252,595,650,18,-357,497,834,109,1110,194,632,584,138,447,766,488,-1237,492,397,-485,149,725,811,561,707,-557,-975,1039,268,765,1015,1207,748,523,586,500,487,-646,-1509,560,497,53,376,752,386,-87,-278,889,-2008,702,300,481,615,-920,889,672,611,573,1225,-1096,159,1644,744,976,383,945,760
d1500,w80,m150,s150,p3,-1447,240,625,314,-34,-1418,-456,199,141,82,495,234,601,-520,141,209,147,152,164,514,66,0,0,152,-52,-84,-1629,-2418,177,1083,449,684,359,31,472,126,498,-9476,595,144,944,-237,317,-181,341,-182,170,324,-250,316,-147,111,269,302,87,307,-63,-145,283,194,110,397,-74,370,367,174,95,239,155,-49,293,187,-204,62,116,-837,102,303,279,-605,71,341,262,351,88,451,82,454,70,176,273,231,261,153,305,54,303,888,295,-573,-251,211,-48,492,414,275,498,208,261,244,208,1003,276,253,750,-766,-457,841,46,-82
d1500,w80,m200,s300,p3,1156,-437,-478,-175,-106,294,-578,517,260,242,277,331,-270,-489,-113,-246,-167,-28,-333,-316,-153,169,-459,-54,-368,179,-267,-191,-327,-215,-33,-438,-123,-123,332,-548,-696,-388,-319,-295,115,0,-28,-283,108,-113,-178,765,-253,-438,123,191,-109,-42,-1790,-351,1455,250,-15,89,-223,-49,-106,66,329,59,467,104,-212,174,134,164,257,-292,-338,-1663,-312,427,-99,-377,47,-15,295,-7,389,70,-390,-315,-452,-108,-578,-507,-15,379,584,196,268,-123,-257,45,-161,-110,-47,-258,-234,153,333,793,182,260,518,382,-199,-347,-1210,179,-216,-159,827,499
d1500,w80,m50,s300,p3,1250,1069,255,626,1129,536,867,898,-2127,1103,1364,20,446,742,722,1069,1022,-990,-998,595,1186,1143,-601,874,986,1091,-167,670,1104,-888,-168,1226,-106,993,964,-1728,-404,-223,-1207,191,1335,809,897,-334,-664,-379,888,1046,948,1190,-852,-772,-352,-323,-745,-630,1386,1373,1818,2551,1064,-3249,812,1038,901,-42,-915,439,1079,1277,37,-990,-292,962,1087,-534,-300,787,1040,933,13,908,-6301,1177,1121,-569,964,944,-8332,846,2451,1027,-102,176,1083,-71,223,1220,603,1043,568,741,-222,-34,878,-235,-997,261,1154,622,314,760,783,188,406,1147,-2409,-2170,973,558
d1500,w80,m150,s300,p3,232,-1150,169,1033,-193,-141,8,268,157,171,270,146,0,414,321,163,-11039,314,281,1292,-10678,190,299,-212,442,772,0,117,31,133,92,44,-71,144,276,222,279,515,140,138,371,219,-1218,308,746,411,37,-656,255,289,348,151,603,498,150,-293,-179,-132,-1338,382,-603,234,408,487,358,-7,-319,292,784,-847,392,-52,896,210,421,195,-1635,402,213,307,332,211,428,933,1063,135,-574,-973,436,518,750,861,331,188,-75,182,364,225,98,507,337,509,506,604,326,-75,473,283,260,623,392,311,628,162,-292,-738,459,631,298,209
d1500,w80,m250,s150,p3,-351,504,370,186,188,81,269,-267,-243,101,-7,79,-280,-220,163,946,-663,-144,-621,-768,423,-337,-375,-467,-729,-33,-665,82,-496,-83,7,70,698,-258,-753,-255,-47,-718,-492,0,-279,30,-190,-31,-275,-271,-635,181,-252,-649,33,-271,-223,-9,74,145,-156,167,-30,-43,144,515,742,-51,-258,-437,70,434,0,329,462,829,-348,77,294,265,-38,-232,-329,-763,-25,299,-28,-541,-273,-248,-229,-823,-51,-726,-137,-41,-331,-70,-263,-9,-102,337,-268,53,-308,-32,-748,799,-445,72,-209,-653,-743,418,1599,235,-621,-657,26,177,-447,-438,-441,-579
d1500,w80,m250,s300,p3,473,-450,-872,-126,-306,-95,-231,-693,-292,-286,-413,227,-57,-620,-25,-408,-134,-161,-351,-58,-445,-44,769,210,-868,79,-135,-93,-302,-558,329,655,-248,-408,-825,390,1167,-485,26,1059,-518,-1840,-193,-215,-244,-160,-82,487,366,249,220,543,398,-170,95,1483,-187,165,81,191,72,393,-364,188,76,328,81,1053,89,246,-340,-309,-32,-211,204,359,219,334,735,378,230,174,-546,46,438,-56,-400,446,561,-287,630,382,-110,-611,270,268,48,271,-56,-951,568,402,165,8,-200,190,701,269,448,293,267,194,-118,267,611,251,-15,584,122,440
d1500,w80,m0,s300,p3,1864,1864,762,1413,-197,118,1925,215,1306,1127,-709,1315,865,1620,2049,1789,753,-947,330,1480,1707,-220,1485,824,862,1158,-373,1486,2364,1870,629,1201,-298,-1539,1724,-160,147,1409,-7277,-1389,993,-604,-476,381,312,608,-10557,1581,732,-482,-746,-1961,-2721,-1472,-958,-1162,2495,-756,15,1542,1612,1391,1629,96,-866,-424,1668,1661,382,-1402,-1655,-1404,423,1450,1190,181,387,1174,58,-1283,-1805,-1039,177,1349,861,21,-186,-961,-933,-916,-981,97,961,-65,-88,642,1071,674,-528,-198,-974,1807,-1312,-332,568,1215,1045,357,1078,72,521,1663,447,-77,-889,-1649,-893,571,1517,430
d1500,w80,m100,s300,p3,1625,435,-475,1312,1033,557,596,789,690,914,870,-1048,812,201,819,419,812,334,-862,175,652,478,68,584,447,132,326,560,923,672,523,491,-670,-440,608,973,554,842,-856,914,606,650,711,811,298,568,776,716,375,657,-347,765,624,433,536,489,413,457,687,671,554,698,635,1003,695,779,634,1062,641,460,691,576,431,644,731,676,215,-33,770,646,-35,897,1055,-10513,-1588,158,572,474,519,308,744,565,594,710,765,555,778,953,526,742,331,-9,717,121,193,740,642,425,364,1183,524,674,-962,-46,710,968,866,-227,1290,144
d1500,w80,m200,s150,p3,-228,116,746,141,42,870,641,295,0,552,384,95,376,494,392,620,239,-98,-17,0,-60,-225,417,-157,446,447,692,155,-298,82,8,10,-307,41,-16,103,-144,482,-65,81,124,-706,967,327,462,941,-110,1619,161,-157,319,297,-110,258,555,325,808,1021,-15,346,561,912,304,21,137,506,-692,133,267,487,389,463,158,64,111,629,319,67,-1243,377,281,562,205,-196,524,-315,196,8,364,320,413,137,-225,209,306,-160,218,363,59,2021,8,-8,290,226,241,-15,213,-261,528,274,88,248,102,425,426,112,-468,2471,-224,194
d1500,w80,m50,s150,p3,1337,841,-1012,-1969,1194,2269,871,692,-236,-43,895,-424,-1147,-337,631,948,1084,-730,426,1238,797,-926,-1493,1503,1051,-101,1111,1069,-1046,152,1206,0,1013,904,443,459,-895,-663,-419,993,268,-628,-969,183,1082,23,629,1051,-1614,-1780,-881,-643,-183,767,1176,316,1055,695,428,-633,-969,390,1357,739,921,58,26,679,-553,-1449,-722,1110,-777,-911,-132,1038,1378,-1006,-1896,-2116,1020,1271,-946,-905,-1587,-597,936,-532,-219,-1708,866,-1591,-392,1613,-311,-2338,-1566,-728,-812,994,-60,984,-603,-112,33,-649,-1545,1121,-2396,-1345,187,961,381,1222,-877,-1339,-1390,-1721,-1833,-259
